Crop,Lat,Long,Yield Ton/ Fed.
Rice,30.874137,31.082684,4.1
Rice,30.869175,31.082334,4.3
Rice,30.867035,31.085621,4.1
Rice,30.87645,31.081675,3.9
Rice,30.873948,31.092361,3.6
Rice,30.869485,31.088101,3.8
Rice,30.889831,31.091398,3.9
Rice,30.921373,31.125333,3.7
Rice,30.911276,31.116083,4.1
Rice,30.901712,31.109926,4.2
Rice,30.896939,31.100387,3.9
Rice,30.889177,31.09076,4.3
Rice,30.725591,30.893726,4.2
Rice,30.727208,30.891434,3.9
Rice,30.724566,30.893706,3.7
Rice,30.7444,30.8038,4.1
Rice,30.7341,30.8061,4.4
Rice,30.996458,30.819843,3.9
Rice,30.986367,30.825389,3.9
Rice,30.857891,31.009388,4.2
Rice,28.852254,30.907182,4
Rice,31.057867,29.999154,4.2
Rice,30.133924,31.127704,3.9
Rice,30.755941,31.103216,4.3
Rice,30.7668899,30.9136495,4.3
Rice,30.9076333,30.7812639,4.1
Rice,30.9011826,30.7765444,4
Rice,30.9293089,30.7680149,4
Rice,30.8990717,30.7577154,3.9
Rice,30.719901,31.04578,3.9
Rice,31.046053,30.71707,3.8
Rice,31.040909,30.72041,3.7
Rice,31.046691,30.712241,4.1
Rice,31.10733,30.90933,4.2
Rice,31.11025,30.91068,4.2
Rice,31.1052,30.91035,3.9
Rice,31.11133,30.91353,3.8
Rice,30.828553,30.787715,3.9
Rice,30.832343,30.789475,3.8
Rice,30.72077831,31.140093,3.9
Rice,30.711479,31.140289,3.7
Rice,30.70957,31.140041,3.8
Rice,30.860272,30.796707,4.1
Rice,30.836726,30.836029,4.1
Rice,30.846559,30.823762,3.9
Rice,31.093367,30.913148,3.8
Rice,31.098091,30.900572,3.7
Rice,31.102871,30.902696,4.1
Rice,30.97217,30.918364,4
Rice,30.969896,30.940367,3.9
Rice,30.9703,30.953829,4
Rice,30.8004,30.9734,4.1
Rice,30.7837,30.9476,3.9
Rice,30.7706,30.933,4.1
Rice,30.9357,30.926725,3.8
Rice,30.927,30.925386,3.7
Rice,31.0147758,31.3627367,3.9
Rice,31.0036973,31.3286707,4.1
Rice,31.01004,31.3681994,4.2
Rice,30.9854603,31.3654143,4.2
Rice,30.88802,30.727815,4.1
Rice,30.830114,30.790107,3.9
Rice,30.83321,30.82164,3.8
Rice,30.869284,30.626811,3.9
Rice,30.86921,30.626797,4.1
Rice,30.7907,30.7954,3.7
Rice,30.9862,30.851002,3.7
Rice,30.9784,30.826285,3.9
Rice,31.2012389,30.8037697,3.8
Rice,31.1943054,30.8043655,3.9
Rice,31.1936174,30.8062984,4
Rice,30.718528,30.786789,4.1
Rice,30.720628,30.787813,4.1
Rice,30.706746,30.777926,4.1
Rice,31.0872,31.1267,3.7
