fid,lat,long,index,2016,yield Kg/Feddan,2017,yield Kg/Feddan_1,2018,yield Kg/Feddan_2,2019,yield Kg/Feddan_3,2020,yield Kg/Feddan_4,2021,yield Kg/Feddan_5,2022,yield Kg/Feddan_6
"37",30.83436208,30.78743543,"1154",wheat - rice,3000-1900,wheat,"3200",wheat - rice,3100-4200,rice,"4400",wheat - rice,3000-4100,rice,"4200",wheat - rice,3100-4200
"38",30.83350907,30.78802653,"1088",wheat,"3200",wheat,"3100",wheat,"3200",rice,"4200",wheat,"3100",rice,"4200",wheat,"3200"
"39",30.83290112,30.78886706,"1216",wheat-rice,3000-4300,wheat,"3100",wheat-rice,3200-4300,rice,"4300",wheat-rice,3000-4100,rice,"4000",wheat-rice,3200-4200
"40",30.83349439,30.78961976,"1089",wheat,"3100",wheat - rice,3000-4000,wheat,"3200",wheat - rice,3400-4300,wheat,"3000",wheat - rice,3200-4200,wheat,"3000"
"41",30.83125459,30.7912901,"1096",wheat,"3300",wheat - rice,3200-4200,wheat,"3300",wheat - rice,3400-4300,wheat,"3100",wheat - rice,3100-4200,wheat,"3100"
"42",30.83277495,30.79169109,"1110",wheat,"3300",wheat - rice,3200-4100,wheat,"3300",wheat - rice,"4300",wheat,"3100",wheat - rice,3100-4200,wheat,"3000"
"43",30.833785,30.79152,"1101",wheat,"3200",wheat - rice,3100-4100,wheat,"3300",wheat - rice,3300-4100,wheat,"3100",wheat - rice,3200-4100,wheat,"3200"
"44",30.833953,30.793377,"1100",wheat,"3300",wheat - rice,3200-4000,wheat,"3200",wheat - rice,3300-4200,wheat,"3200",wheat - rice,3100-4000,wheat,"3100"
"45",30.8329782,30.79424825,"1109",wheat,"3000",wheat - rice,3200-4200,wheat,"3300",wheat - rice,3300-4200,wheat,"3200",wheat - rice,3200-4100,wheat,"3000"
"46",30.83386806,30.79103697,"1095",wheat,"3300",wheat - rice,3100-4100,wheat,"3200",wheat - rice,3300-4300,wheat,"3100",wheat - rice,3100-4000,wheat,"3200"
"47",30.83394205,30.79365347,"1099",wheat,"3300",wheat - rice,3200-4100,wheat,"3300",wheat - rice,3300-4200,wheat,"3300",wheat - rice,3200-4000,wheat,"3000"
"48",30.83441419,30.79269223,"1187",wheat-rice,3000-4000,wheat,"3100",wheat-rice,3300-4100,rice,"4400",wheat-rice,3300-4200,rice,"4000",wheat-rice,3200-4100
"49",30.83501932,30.79290513,"1201",wheat,"3200",wheat-rice,3200-4200,wheat,"3300",wheat-rice,3200-4100,wheat,"3100",wheat-rice,3100-4200,wheat,"3100"
"50",30.83706565,30.78790482,"1193",wheat-rice,3000-4000,wheat,"3200",wheat-rice,3200-4200,rice,"4400",wheat-rice,3300-4200,rice,"4100",wheat-rice,3100-4200
"51",30.83537226,30.79168003,"1203",wheat-rice,3000-3900,wheat,"3200",wheat-rice,3200-4000,rice,"4300",wheat-rice,3100-4200,rice,"4200",wheat-rice,3200-4100
"52",30.8377041,30.78800306,"1055",,,wheat,"3200",,,wheat,"3300",wheat,"2800",,,Wheat,"3100"
"53",30.836628,30.78849927,"1112",wheat - rice,3000-4000,wheat,"3200",wheat - rice,3100-4100,rice,"4400",wheat - rice,3000-4300,rice,"4100",wheat - rice,3200-4300
"54",30.83830056,30.7882468,"1070",wheat,"3200",wheat,"3100",wheat,"3200",wheat,"3300",wheat,"3100",wheat,"3100",wheat,"3100"
"55",30.838591,30.787285,"1063",wheat-rice,3100-4200,wheat,"3200",wheat,"3300",wheat- rice,3200-4200,,,wheat- rice,3100-4200,,
"56",30.84175054,30.78807916,"1061",,,wheat,"3000",wheat,"3200",,,wheat,"2900",wheat,"3100",,
"57",30.84216535,30.78839935,"1058",,,,,wheat,"3100",,,,,wheat,"3200",Wheat,"3100"
"58",30.84230653,30.78916177,"1057",,,wheat,"3200",,,wheat,"3300",wheat,"2900",,,Wheat,"3100"
"59",30.841626,30.792827,"1210",wheat-rice,3200-4100,wheat,"3300",wheat-rice,3200-4100,rice,"4400",wheat-rice,3100-4200,rice,"4100",wheat-rice,3200-4200
"60",30.84162,30.791151,"1211",wheat-rice,3100-4200,wheat,"3300",wheat-rice,3100-4200,rice,"4400",wheat-rice,3000-4200,rice,"4000",wheat-rice,3200-4100
"61",30.843618,30.790074,"1060",,,wheat,"3200",wheat,"3200",,,wheat,"3000",wheat,"3100",,
"62",30.84421258,30.78981053,"1059",,,wheat,"3200",wheat,"3300",,,wheat,"3000",wheat,"3200",,
"63",30.844355,30.790888,"1064",Wheat,"3000",wheat,"3000",wheat,"2300",wheat,"3300",wheat,"2900",wheat,"3200",wheat,"3100"
"64",30.84499,30.793419,"1183",,,wheat,"3100",,,wheat,"3400",,,wheat,"3000",,
"65",30.84515042,30.79050522,"1033",wheat,"2100",rice,"4200",wheat,"3200",,,,,rice,"4200",,
"66",30.84484027,30.79175781,"1138",wheat - rice,3000-4000,wheat,"3100",wheat - rice,3300-4000,rice,"4200",wheat - rice,3200-4200,rice,"4200",wheat - rice,3100-4200
"67",30.84546836,30.79153385,"1191",wheat-rice,2900-4000,wheat,"3100",wheat-rice,3100-4100,rice,"4300",wheat-rice,3300-4200,rice,"4000",wheat-rice,3200-4200
"68",30.84501989,30.79264227,"1009",rice,"4200",rice,"4200",,,,,,,rice,"4100",Wheat,"3100"
"69",30.845208,30.791404,"1215",wheat-rice,3200-4200,wheat,"3200",wheat-rice,3100-4200,rice,"4400",wheat-rice,3100-4200,rice,"4000",wheat-rice,3100-4200
"70",30.84294185,30.79169177,"1103",wheat,"3200",wheat - rice,3200-4100,wheat,"3200",wheat - rice,3300-4300,wheat,"3200",wheat - rice,3100-4000,wheat,"3000"
"71",30.843597,30.792314,"1113",wheat,"3300",wheat - rice,3200-4300,wheat,"3200",wheat - rice,3300-4200,wheat,"3200",wheat - rice,3100-4000,wheat,"3200"
"72",30.842493,30.792773,"1102",wheat,"3100",wheat - rice,3100-4000,wheat,"3300",wheat - rice,3300-4300,wheat,"3300",wheat - rice,3100-4200,wheat,"3100"
"73",30.84262722,30.79348113,"1104",wheat,"3200",wheat - rice,3100-4200,wheat,"3200",wheat - rice,3300-4300,wheat,"3200",wheat - rice,3300-4000,wheat,"3200"
"74",30.84131859,30.79320386,"1212",wheat,"3300",wheat-rice,3200-4200,wheat,"3300",rice,"4300",wheat,"3100",rice,"4200",wheat,"3100"
"75",30.84031854,30.7932974,"1213",wheat-rice,3200-4000,wheat,"3200",wheat-rice,3200-4300,rice,"4400",wheat-rice,3100-4300,rice,"4100",wheat-rice,3200-4200
"76",30.83955827,30.79078417,"1093",wheat,"3100",wheat - rice,3200-4100,wheat,"3200",wheat - rice,3300-4200,wheat,"3200",wheat - rice,3100-4200,wheat,"3200"
"77",30.83953092,30.79191741,"1018",rice,"4000",,,wheat,"3200",,,wheat,"3300",,,,
"78",30.83955308,30.79351366,"1016",,,wheat,"3100",,,,,,,wheat,"3100",,
