fid,lat,long,index,2016,yield Kg/Feddan,2017,yield Kg/Feddan_1,2018,yield Kg/Feddan_2,2019,yield Kg/Feddan_3,2020,yield Kg/Feddan_4,2021,yield Kg/Feddan_5,2022,yield Kg/Feddan_6
"118",30.83897477,30.79759631,"1003",,,rice,"3900",wheat,"3200",,,,,rice,"4200",,
"119",30.839301,30.797912,"1004",,,wheat-rice,3000-3900,wheat,"3200",wheat,"3200",wheat,"3000",wheat-rice,3000-4100,,
"120",30.841133,30.797186,"1005",,,rice,"4300",,,rice,"4200",wheat,"3000",rice,"4100",Wheat,"3100"
"121",30.8401156,30.79949632,"1001",,,rice,"4100",,,,,wheat,"3100",wheat-rice,3100-4200,Wheat,"3100"
"122",30.840542,30.799761,"1007",,,rice,"4100",,,rice,"4300",,,wheat-rice,3100-4100,Wheat,"3000"
"123",30.84085916,30.80017157,"1006",rice,"4000",wheat,"3200",wheat,"2100",,,wheat,"3100",wheat,"3000",Wheat,"3200"
"124",30.84092652,30.79874229,"1021",,,,,,,,,,, wheat,"3100",,
"125",30.84124029,30.79991743,"1014",,,wheat,"3100",wheat,"3100",wheat,"3300",wheat,"3100",wheat,"3100",,
"126",30.84165683,30.79993989,"1019",wheat,"2000",,,wheat,"3200",,,wheat,"3100",,,Wheat,"3000"
"127",30.84172103,30.79858169,"1015",wheat-rice,3100-4200,wheat-rice,2900-4000,,,wheat,"3200",,,wheat-rice ,3100-4100,Wheat,"3200"
"128",30.84205092,30.79732776,"1023",wheat-rice,3100-4200,wheat-rice,3100-4000,wheat,"3100",,,wheat,"2900",rice,"4200",Wheat,"3100"
"129",30.84233935,30.79841372,"1027",rice,"4300",rice,"4200",,,,,,, wheat-rice,4100-2200,Wheat,"3100"
"130",30.84300172,30.79508878,"1198",wheat,"3100",wheat-rice,3100-4000,wheat,"3200",rice,"4400",wheat,"3200",rice,"4000",wheat,"3100"
"131",30.84296977,30.79627901,"1107",wheat,"3200",wheat - rice,3200-4200,wheat,"3200",wheat - rice,3300-4300,wheat,"3200",wheat - rice,3300-4000,wheat,"3200"
"132",30.84359788,30.79574928,"1200",wheat,"3300",wheat-rice,3200-4200,wheat,"3200",wheat-rice,3300-4100,wheat,"3000",wheat-rice,3100-4100,wheat,"3100"
"133",30.84444418,30.79814818,"1143",wheat - rice,2900-4000,wheat,"3000",wheat - rice,3300-4200,rice,"4300",wheat - rice,3100-4200,rice,"4200",wheat - rice,3000-4000
"134",30.843869,30.797007,"1141",wheat - rice,3100-4200,wheat,"3100",wheat - rice,3100-4200,rice,"4200",wheat - rice,3000-4100,rice,"4200",wheat - rice,3200-4100
"135",30.84428106,30.80029596,"1034",,,wheat,"3100",wheat,"3200",wheat,"3000",wheat,"3000",wheat,"3100",Wheat,"3100"
"136",30.846514,30.800814,"1158",wheat,"3",wheat - rice,3200-4100,wheat,"3300",wheat,"2400",wheat,"3200",wheat,"3000",wheat,"3100"
"137",30.84295423,30.79751417,"1142",wheat - rice,3200-4100,wheat,"3100",wheat - rice,3100-4200,rice,"4200",wheat - rice,3100-4200,rice,"4300",wheat - rice,3200-4100
"138",30.8416955,30.80201123,"1052",,,rice,"4100",,,rice,"4300",rice,"4000",,,rice,"4200"
"139",30.84000767,30.80232706,"1024",,,wheat-rice,3000-4100,,,wheat,"3200",,,wheat-rice,3100-4100,,
"140",30.84068946,30.80372784,"1048",,,,,rice,"4200",,,,, rice,"4100",,
"141",30.840422,30.805023,"1035",,,wheat,"3100",wheat,"3300",wheat,"3100",wheat,"3000",wheat,"3200",Wheat,"3200"
"142",30.83751498,30.80300767,"1161",wheat - rice,2900-4200,wheat,"3100",wheat - rice,3200-4100,rice,"4300",wheat - rice,3200-4200,rice,"4200",wheat - rice,3200-4200
"143",30.83743732,30.80471992,"1039",rice,"4000",wheat,"3100",wheat-rice,3100-4200,wheat,"3300",wheat,"3100", wheat-rice,3100-4100,,
"144",30.84219861,30.80382407,"1032",wheat-rice,3200-4200,rice,"4200",rice-,"3200",wheat,"3200",wheat,"2900",rice,"4100",Wheat,"3000"
"145",30.84610058,30.79827055,"1036",rice,"4300",wheat-rice,2900-4100,wheat,"3100",,,rice-wheat,4200-2900,wheat,"3200",rice,"4300"
"146",30.84701558,30.80071539,"1160",wheat ,"3200",wheat,"3300",wheat,"3100",rice,"4200",wheat,"3200",rice,"4100",wheat,"3200"
"147",30.84711956,30.80267843,"1041",wheat-rice,3200-4300,wheat-rice,3000-4100,wheat,"3100",wheat,"3300",rice-wheat,4200-3100,wheat,"3100",Wheat,"3200"
"148",30.84931731,30.79772372,"1026",,,,,,,wheat,"3100",,,,,rice,"4200"
"149",30.85138167,30.79657607,"1044",rice,"4400",,,wheat-rice,3200-4200,,,,, wheat-rice,3000-4100,rice,"4200"
"150",30.85106994,30.79760436,"1045",,,wheat,"3100",wheat,"3200",,,wheat,"2100",wheat,"3100",,
"151",30.8522344,30.79672359,"1151",wheat - rice,3000-3900,wheat,"3100",wheat - rice,3200-4200,rice,"4300",wheat - rice,3200-4300,rice,"4100",wheat - rice,3100-4200
"152",30.85208254,30.79780284,"1042",rice,"4300",wheat-rice,3000-4000,wheat,"3000",wheat,"3200",rice-wheat,4100-2900,wheat,"3000",Wheat,"3200"
"153",30.85313946,30.79737101,"1047",,,wheat-rice,3000-4100,wheat,"3300",,,rice -wheat,4000-3000,wheat,"3100",Wheat,"3000"
"154",30.85007375,30.80042738,"1159",wheat - rice,3200-4100,wheat,"3300",wheat - rice,3300-4200,rice,"4300",wheat - rice,3200-4200,rice,"4000",wheat - rice,3100-4200
"155",30.84927868,30.80177821,"1038",,,wheat,"3000",wheat-rice,3100-4100,,,wheat,"2200", wheat-rice,3200-4100,Wheat,"3300"
"156",30.81047,31.07717,"1131",wheat - rice,3900-4000,wheat,"4100",wheat - rice,3100-4000,rice,"4300",wheat - rice,3300-4200,rice,"4200",wheat - rice,3100-4200
"157",30.8139,31.08593,"1071",Wheat,"3200",wheat,"3200",wheat,"3300",wheat,"3300",wheat,"2900",wheat,"3000",wheat,"3200"
"158",30.81457,31.074309,"1132",wheat,"3300",wheat - rice,3200-4200,wheat,"3100",rice,"4400",wheat,"3300",rice,"4200",wheat,"3300"
"159",30.81952,31.06411,"1134",wheat,"3200",wheat - rice,3200-4200,wheat,"3300",rice,"4300",wheat,"3200",rice,"4100",wheat,"3300"
"160",30.819492,31.081858,"1133",wheat,"3300",wheat - rice,3100-4100,wheat,"3300",rice,"4400",wheat,"3300",rice,"4100",wheat,"3200"
